"TOA5","Cigar","CR1000","E3121","CR1000.Std.22","CPU:SBGmeas.CR1","24627","SBG_meas"
"TIMESTAMP","RECORD","BigRedButtonPressed","SBG","SBG_flux","ExperimentID"
"TS","RN","","","",""
"","","Smp","Smp","Smp","Smp"
"2018-03-22 19:46:40.15",143,0,0.05932511,0.1125714,10100
"2018-03-22 19:46:40.2",144,0,0.06572953,0.124724,10100
"2018-03-22 19:46:40.25",145,0,0.06168463,0.1170486,10100
"2018-03-22 19:46:40.3",146,0,0.06471831,0.1228051,10100
"2018-03-22 19:46:40.35",147,0,0.05999926,0.1138506,10100
"2018-03-22 19:46:40.4",148,0,0.06202171,0.1176883,10100
"2018-03-22 19:46:40.45",149,0,0.05662852,0.1074545,10100
"2018-03-22 19:46:40.5",150,0,0.06033634,0.1144902,10100
"2018-03-22 19:46:40.55",151,0,0.05662852,0.1074545,10100
"2018-03-22 19:46:40.6",152,0,0.06067341,0.1151298,10100
"2018-03-22 19:46:40.65",153,0,0.05595437,0.1061753,10100
"2018-03-22 19:46:40.7",154,0,0.05999926,0.1138506,10100
"2018-03-22 19:46:40.75",155,0,0.05528022,0.1048961,10100
"2018-03-22 19:46:40.8",156,0,0.05932511,0.1125714,10100
"2018-03-22 19:46:40.85",157,0,0.0556173,0.1055357,10100
"2018-03-22 19:46:40.9",158,0,0.05966219,0.113211,10100
"2018-03-22 19:46:40.95",159,0,0.05528022,0.1048961,10100
"2018-03-22 19:46:41",160,0,0.05898804,0.1119318,10100
"2018-03-22 19:46:41.05",161,0,0.05359485,0.101698,10100
"2018-03-22 19:46:41.1",162,0,0.05865096,0.1112921,10100
"2018-03-22 19:46:41.15",163,0,0.054269,0.1029772,10100
"2018-03-22 19:46:41.2",164,0,0.05865096,0.1112921,10100
"2018-03-22 19:46:41.25",165,0,0.05393192,0.1023376,10100
"2018-03-22 19:46:41.3",166,0,0.05730267,0.1087337,10100
"2018-03-22 19:46:41.35",167,0,0.05224655,0.09913956,10100
"2018-03-22 19:46:41.4",168,0,0.05763974,0.1093733,10100
"2018-03-22 19:46:41.45",169,0,0.05460607,0.1036168,10100
"2018-03-22 19:46:41.5",170,0,0.06101049,0.1157694,10100
"2018-03-22 19:46:41.55",171,0,0.05730267,0.1087337,10100
"2018-03-22 19:46:41.6",172,0,0.06235879,0.1183279,10100
"2018-03-22 19:46:41.65",173,0,0.05528022,0.1048961,10100
"2018-03-22 19:46:41.7",174,0,0.05999926,0.1138506,10100
"2018-03-22 19:46:41.75",175,0,0.05359485,0.101698,10100
"2018-03-22 19:46:41.8",176,0,0.05763974,0.1093733,10100
"2018-03-22 19:46:41.85",177,0,0.0502241,0.0953019,10100
"2018-03-22 19:46:41.9",178,0,0.05393192,0.1023376,10100
"2018-03-22 19:46:41.95",179,0,0.04786458,0.09082463,10100
"2018-03-22 19:46:42",180,0,0.0515724,0.09786034,10100
"2018-03-22 19:46:42.05",181,0,0.04381969,0.08314931,10100
"2018-03-22 19:46:42.1",182,0,0.0488758,0.09274346,10100
"2018-03-22 19:46:42.15",183,0,0.04213431,0.07995126,10100
"2018-03-22 19:46:42.2",184,0,0.04651628,0.08826619,10100
"2018-03-22 19:46:42.25",185,0,0.04146016,0.07867204,10100
"2018-03-22 19:46:42.3",186,0,0.04820165,0.09146424,10100
"2018-03-22 19:46:42.35",187,0,0.04314554,0.08187009,10100
"2018-03-22 19:46:42.4",188,0,0.0502241,0.0953019,10100
"2018-03-22 19:46:42.45",189,0,0.04550506,0.08634736,10100
"2018-03-22 19:46:42.5",190,0,0.05224655,0.09913956,10100
"2018-03-22 19:46:42.55",191,0,0.04719043,0.08954541,10100
"2018-03-22 19:46:42.6",192,0,0.05325777,0.1010584,10100
"2018-03-22 19:46:42.65",193,0,0.04786458,0.09082463,10100
"2018-03-22 19:46:42.7",194,0,0.05393192,0.1023376,10100
"2018-03-22 19:46:42.75",195,0,0.0488758,0.09274346,10100
"2018-03-22 19:46:42.8",196,0,0.054269,0.1029772,10100
"2018-03-22 19:46:42.85",197,0,0.04820165,0.09146424,10100
"2018-03-22 19:46:42.9",198,0,0.05359485,0.101698,10100
"2018-03-22 19:46:42.95",199,0,0.04921288,0.09338307,10100
"2018-03-22 19:46:43",200,0,0.05528022,0.1048961,10100
"2018-03-22 19:46:43.05",201,0,0.0502241,0.0953019,10100
"2018-03-22 19:46:43.1",202,0,0.0556173,0.1055357,10100
"2018-03-22 19:46:43.15",203,0,0.04954995,0.09402268,10100
"2018-03-22 19:46:43.2",204,0,0.05662852,0.1074545,10100
"2018-03-22 19:46:43.25",205,0,0.05056117,0.09594151,10100
"2018-03-22 19:46:43.3",206,0,0.05494314,0.1042564,10100
"2018-03-22 19:46:43.35",207,0,0.04786458,0.09082463,10100
"2018-03-22 19:46:43.4",208,0,0.0529207,0.1004188,10100
"2018-03-22 19:46:43.45",209,0,0.04617921,0.08762658,10100
"2018-03-22 19:46:43.5",210,0,0.0515724,0.09786034,10100
"2018-03-22 19:46:43.55",211,0,0.04516798,0.08570775,10100
"2018-03-22 19:46:43.6",212,0,0.05123533,0.09722073,10100
"2018-03-22 19:46:43.65",213,0,0.04449384,0.08442853,10100
"2018-03-22 19:46:43.7",214,0,0.05056117,0.09594151,10100
"2018-03-22 19:46:43.75",215,0,0.04381969,0.08314931,10100
"2018-03-22 19:46:43.8",216,0,0.05089825,0.09658112,10100
"2018-03-22 19:46:43.85",217,0,0.04516798,0.08570775,10100
"2018-03-22 19:46:43.9",218,0,0.05123533,0.09722073,10100
"2018-03-22 19:46:43.95",219,0,0.04415676,0.08378892,10100
"2018-03-22 19:46:44",220,0,0.05190948,0.09849995,10100
"2018-03-22 19:46:44.05",221,0,0.04584213,0.08698697,10100
"2018-03-22 19:46:44.1",222,0,0.05393192,0.1023376,10100
"2018-03-22 19:46:44.15",223,0,0.04752751,0.09018502,10100
"2018-03-22 19:46:44.2",224,0,0.05460607,0.1036168,10100
"2018-03-22 19:46:44.25",225,0,0.04820165,0.09146424,10100
"2018-03-22 19:46:44.3",226,0,0.0556173,0.1055357,10100
"2018-03-22 19:46:44.35",227,0,0.04853873,0.09210385,10100
"2018-03-22 19:46:44.4",228,0,0.05595437,0.1061753,10100
"2018-03-22 19:46:44.45",229,0,0.04820165,0.09146424,10100
"2018-03-22 19:46:44.5",230,0,0.05393192,0.1023376,10100
"2018-03-22 19:46:44.55",231,0,0.04719043,0.08954541,10100
"2018-03-22 19:46:44.6",232,0,0.05393192,0.1023376,10100
"2018-03-22 19:46:44.65",233,0,0.04584213,0.08698697,10100
"2018-03-22 19:46:44.7",234,0,0.05258362,0.09977917,10100
"2018-03-22 19:46:44.75",235,0,0.04483091,0.08506814,10100
"2018-03-22 19:46:44.8",236,0,0.0515724,0.09786034,10100
"2018-03-22 19:46:44.85",237,0,0.04449384,0.08442853,10100
"2018-03-22 19:46:44.9",238,0,0.05123533,0.09722073,10100
"2018-03-22 19:46:44.95",239,0,0.04415676,0.08378892,10100
"2018-03-22 19:46:45",240,0,0.05123533,0.09722073,10100
"2018-03-22 19:46:45.05",241,0,0.04381969,0.08314931,10100
"2018-03-22 19:46:45.1",242,0,0.05123533,0.09722073,10100
"2018-03-22 19:46:45.15",243,0,0.04348261,0.0825097,10100
"2018-03-22 19:46:45.2",244,0,0.05123533,0.09722073,10100
"2018-03-22 19:46:45.25",245,0,0.04280846,0.08123048,10100
"2018-03-22 19:46:45.3",246,0,0.04988703,0.09466229,10100
"2018-03-22 19:46:45.35",247,0,0.04247139,0.08059087,10100
"2018-03-22 19:46:45.4",248,0,0.04954995,0.09402268,10100
"2018-03-22 19:46:45.45",249,0,0.04280846,0.08123048,10100
"2018-03-22 19:46:45.5",250,0,0.0502241,0.0953019,10100
"2018-03-22 19:46:45.55",251,0,0.04516798,0.08570775,10100
"2018-03-22 19:46:45.6",252,0,0.05190948,0.09849995,10100
"2018-03-22 19:46:45.65",253,0,0.04719043,0.08954541,10100
"2018-03-22 19:46:45.7",254,0,0.05325777,0.1010584,10100
"2018-03-22 19:46:45.75",255,0,0.0488758,0.09274346,10100
"2018-03-22 19:46:45.8",256,0,0.05494314,0.1042564,10100
"2018-03-22 19:46:45.85",257,0,0.04853873,0.09210385,10100
"2018-03-22 19:46:45.9",258,0,0.05494314,0.1042564,10100
"2018-03-22 19:46:45.95",259,0,0.04820165,0.09146424,10100
"2018-03-22 19:46:46",260,0,0.05460607,0.1036168,10100
"2018-03-22 19:46:46.05",261,0,0.0488758,0.09274346,10100
"2018-03-22 19:46:46.1",262,0,0.05595437,0.1061753,10100
"2018-03-22 19:46:46.15",263,0,0.0529207,0.1004188,10100
"2018-03-22 19:46:46.2",264,0,0.06235879,0.1183279,10100
"2018-03-22 19:46:46.25",265,0,0.05797682,0.1100129,10100
"2018-03-22 19:46:46.3",266,0,0.06438123,0.1221655,10100
"2018-03-22 19:46:46.35",267,0,0.05966219,0.113211,10100
"2018-03-22 19:46:46.4",268,0,0.06505538,0.1234447,10100
"2018-03-22 19:46:46.45",269,0,0.05831389,0.1106525,10100
"2018-03-22 19:46:46.5",270,0,0.06337,0.1202467,10100
"2018-03-22 19:46:46.55",271,0,0.05528022,0.1048961,10100
"2018-03-22 19:46:46.6",272,0,0.06134756,0.116409,10100
"2018-03-22 19:46:46.65",273,0,0.05258362,0.09977917,10100
"2018-03-22 19:46:46.7",274,0,0.05831389,0.1106525,10100
"2018-03-22 19:46:46.75",275,0,0.05190948,0.09849995,10100
"2018-03-22 19:46:46.8",276,0,0.05662852,0.1074545,10100
"2018-03-22 19:46:46.85",277,0,0.05123533,0.09722073,10100
"2018-03-22 19:46:46.9",278,0,0.0556173,0.1055357,10100
"2018-03-22 19:46:46.95",279,0,0.04820165,0.09146424,10100
"2018-03-22 19:46:47",280,0,0.05359485,0.101698,10100
"2018-03-22 19:46:47.05",281,0,0.04786458,0.09082463,10100
"2018-03-22 19:46:47.1",282,0,0.05393192,0.1023376,10100
"2018-03-22 19:46:47.15",283,0,0.04786458,0.09082463,10100
"2018-03-22 19:46:47.2",284,0,0.05629144,0.1068149,10100
"2018-03-22 19:46:47.25",285,0,0.04921288,0.09338307,10100
"2018-03-22 19:46:47.3",286,0,0.05595437,0.1061753,10100
"2018-03-22 19:46:47.35",287,0,0.0488758,0.09274346,10100
"2018-03-22 19:46:47.4",288,0,0.054269,0.1029772,10100
"2018-03-22 19:46:47.45",289,0,0.04651628,0.08826619,10100
"2018-03-22 19:46:47.5",290,0,0.05224655,0.09913956,10100
"2018-03-22 19:46:47.55",291,0,0.04516798,0.08570775,10100
"2018-03-22 19:46:47.6",292,0,0.05089825,0.09658112,10100
"2018-03-22 19:46:47.65",293,0,0.04348261,0.0825097,10100
"2018-03-22 19:46:47.7",294,0,0.04954995,0.09402268,10100
"2018-03-22 19:46:47.75",295,0,0.04247139,0.08059087,10100
"2018-03-22 19:46:47.8",296,0,0.04651628,0.08826619,10100
"2018-03-22 19:46:47.85",297,0,0.04213431,0.07995126,10100
"2018-03-22 19:46:47.9",298,0,0.04853873,0.09210385,10100
"2018-03-22 19:46:47.95",299,0,0.04280846,0.08123048,10100
"2018-03-22 19:46:48",300,0,0.04954995,0.09402268,10100
"2018-03-22 19:46:48.05",301,0,0.04381969,0.08314931,10100
"2018-03-22 19:46:48.1",302,0,0.05056117,0.09594151,10100
"2018-03-22 19:46:48.15",303,0,0.04415676,0.08378892,10100
"2018-03-22 19:46:48.2",304,0,0.05190948,0.09849995,10100
"2018-03-22 19:46:48.25",305,0,0.04584213,0.08698697,10100
"2018-03-22 19:46:48.3",306,0,0.05190948,0.09849995,10100
"2018-03-22 19:46:48.35",307,0,0.04685336,0.0889058,10100
"2018-03-22 19:46:48.4",308,0,0.05224655,0.09913956,10100
"2018-03-22 19:46:48.45",309,0,0.04719043,0.08954541,10100
"2018-03-22 19:46:48.5",310,0,0.0529207,0.1004188,10100
"2018-03-22 19:46:48.55",311,0,0.04719043,0.08954541,10100
"2018-03-22 19:46:48.6",312,0,0.05325777,0.1010584,10100
"2018-03-22 19:46:48.65",313,0,0.04719043,0.08954541,10100
"2018-03-22 19:46:48.7",314,0,0.05325777,0.1010584,10100
"2018-03-22 19:46:48.75",315,0,0.04617921,0.08762658,10100
"2018-03-22 19:46:48.8",316,0,0.05190948,0.09849995,10100
"2018-03-22 19:46:48.85",317,0,0.04685336,0.0889058,10100
"2018-03-22 19:46:48.9",318,0,0.0529207,0.1004188,10100
"2018-03-22 19:46:48.95",319,0,0.04617921,0.08762658,10100
"2018-03-22 19:46:49",320,0,0.05224655,0.09913956,10100
"2018-03-22 19:46:49.05",321,0,0.04617921,0.08762658,10100
"2018-03-22 19:46:49.1",322,0,0.05089825,0.09658112,10100
"2018-03-22 19:46:49.15",323,0,0.04550506,0.08634736,10100
"2018-03-22 19:46:49.2",324,0,0.05089825,0.09658112,10100
"2018-03-22 19:46:49.25",325,0,0.04516798,0.08570775,10100
"2018-03-22 19:46:49.3",326,0,0.0515724,0.09786034,10100
"2018-03-22 19:46:49.35",327,0,0.04550506,0.08634736,10100
"2018-03-22 19:46:49.4",328,0,0.05123533,0.09722073,10100
"2018-03-22 19:46:49.45",329,0,0.04516798,0.08570775,10100
"2018-03-22 19:46:49.5",330,0,0.0515724,0.09786034,10100
"2018-03-22 19:46:49.55",331,0,0.04550506,0.08634736,10100
"2018-03-22 19:46:49.6",332,0,0.0515724,0.09786034,10100
"2018-03-22 19:46:49.65",333,0,0.04550506,0.08634736,10100
"2018-03-22 19:46:49.7",334,0,0.05224655,0.09913956,10100
"2018-03-22 19:46:49.75",335,0,0.04516798,0.08570775,10100
"2018-03-22 19:46:49.8",336,0,0.05190948,0.09849995,10100
"2018-03-22 19:46:49.85",337,0,0.04516798,0.08570775,10100
"2018-03-22 19:46:49.9",338,0,0.05190948,0.09849995,10100
